Covid_vaccinated_in_the_world
country;doses_per100;total_dose;vaccinated_in_percentage;fully_vaccinated_in_percentage;iso_alpha
World;30.0;2,327,582,632;;;
U.A.E.;140.0;13,684,429;;;ARE
Israel;117.0;10,618,819;60.0;57.0;ISR
Malta;115.0;576,256;67.0;50.0;MLT
Bahrain;114.0;1,876,554;62.0;52.0;BHR
Aruba;112.0;119,395;61.0;51.0;ABW
Mongolia;109.0;3,528,572;59.0;51.0;MNG
Chile;107.0;20,223,473;61.0;47.0;CHL
U.K.;105.0;70,253,625;61.0;44.0;GBR
Curaçao;102.0;160,585;55.0;47.0;CUW
Qatar;98.0;2,768,028;56.0;42.0;QAT
Hungary;96.0;9,424,351;54.0;42.0;HUN
Uruguay;93.0;3,224,002;60.0;33.0;URY
United States;92.0;306,509,795;52.0;43.0;USA
Maldives;92.0;489,415;59.0;33.0;MDV
Iceland;88.0;317,082;59.0;36.0;ISL
Singapore;77.0;4,392,067;44.0;33.0;SGP
Canada;75.0;28,240,474;64.0;11.0;CDN
Belgium;71.0;8,175,324;47.0;25.0;BEL
Germany;71.0;59,038,531;48.0;25.0;DEU
Serbia;70.0;4,882,120;38.0;32.0;SRB
Denmark;70.0;4,066,856;45.0;25.0;DNK
Lithuania;69.0;1,933,826;42.0;28.0;LTU
Spain;69.0;32,282,553;45.0;26.0;ESP
Italy;69.0;41,310,662;47.0;23.0;ITA
Luxembourg;68.0;423,029;42.0;26.0;LUX
Austria;68.0;6,043,642;46.0;23.0;AUT
Switzerland;67.0;5,785,134;42.0;26.0;CHE
Netherlands;66.0;11,395,454;45.0;23.0;NLD
Portugal;65.0;6,713,043;43.0;23.0;PRT
France;64.0;43,204,513;45.0;21.0;FRA
Bhutan;63.0;482,716;63.0;;BTN
Poland;62.0;23,628,450;40.0;24.0;POL
Greece;62.0;6,665,626;39.0;25.0;GRC
Slovenia;62.0;1,294,610;36.0;26.0;SVN
Finland;62.0;3,421,475;50.0;12.0;FIN
Mainland China;62.0;863,513,000;;;CHN
Norway;61.0;3,254,587;36.0;25.0;NOR
Estonia;61.0;806,585;39.0;22.0;EST
Czech Republic;60.0;6,436,606;42.0;19.0;CZE
Sweden;60.0;6,151,465;40.0;20.0;SWE
Cyprus;57.0;681,219;35.0;22.0;CYP
Dominican Rep.;56.0;6,050,983;39.0;17.0;DOM
Slovakia;54.0;2,934,355;34.0;20.0;SVK
Barbados;51.0;147,036;30.0;22.0;BRB
Croatia;50.0;2,042,889;34.0;16.0;HRV
Latvia;49.0;935,992;29.0;21.0;LVA
Ireland;48.0;2,387,348;36.0;;IRL
Saudi Arabia;46.0;15,605,844;;;SAU
Morocco;45.0;16,409,704;26.0;19.0;MAR
Romania;44.0;8,425,239;23.0;21.0;ROU
Kuwait;43.0;1,820,000;;;KWT
Montenegro;42.0;259,428;23.0;19.0;MNE
French Polynesia;41.0;115,739;23.0;19.0;PYF
Turkey;39.0;32,952,991;23.0;16.0;TUR
Hong Kong;38.0;2,837,427;22.0;16.0;HKG
Costa Rica;38.0;1,906,177;24.0;14.0;CRI
Guyana;38.0;294,053;27.0;10.0;GUY
Macau;38.0;237,236;26.0;12.0;MAC
Brazil;36.0;76,758,587;25.0;11.0;BRA
Mauritius;36.0;455,242;20.0;16.0;MUS
Argentina;35.0;15,730,223;28.0;7.1;ARG
El Salvador;35.0;2,231,365;20.0;14.0;SLV
New Caledonia;34.0;98,747;19.0;16.0;NCL
Cambodia;31.0;5,128,310;17.0;14.0;KAM
Albania;29.0;823,053;17.0;11.0;ALB
Tonga;29.0;29,980;27.0;1.3;TON
Mexico;29.0;36,430,953;20.0;12.0;MEX
Cuba;28.0;3,128,573;16.0;2.7;CUB
South Korea;28.0;14,261,118;22.0;5.6;KOR
Panama;27.0;1,164,396;18.0;9.6;PAN
Saint Lucia;27.0;49,735;16.0;11.0;LCA
Azerbaijan;27.0;2,702,023;17.0;9.5;AZE
